country,report_year,report_reference,new_users,new_drivers,new_passangers,new_trip_offered,new_bookings,ask,trip_realized,unique_trip_realized,pax_transported,unique_pax_driver,avg_pax/trip,Realize_Trip_Yield,Avg_Realized_Km,Driver_Cancel_Rate,Pax_Cancel_Rate
 Total,2016.0,2016-01-26,763.0,179.0,174.0,1049.0,2209.0,399882.0,824.0,457.0,2344.0,771.0,2.84466019417,34.1625207297,40.6433447099,5.57971014493,8.29710144928
 Total,2016.0,2016-01-19,529.0,149.0,153.0,953.0,2293.0,316076.0,763.0,378.0,2442.0,700.0,3.2005242464,33.1163194444,29.8705978706,2.18373493976,5.04518072289
 Total,2016.0,2016-01-12,765.0,252.0,209.0,1274.0,2638.0,454481.0,782.0,430.0,2420.0,682.0,3.09462915601,32.8157784305,46.7070247934,1.2427184466,3.76699029126
 Total,2016.0,2016-01-05,938.0,236.0,235.0,1215.0,2101.0,423926.0,571.0,368.0,1715.0,547.0,3.00350262697,27.2034302049,60.1236151603,2.6941362916,4.80718436344
Argentina + Uruguay,2016.0,2016-01-26,23.0,2.0,4.0,16.0,11.0,18859.0,5.0,5.0,12.0,10.0,2.4,15.1515151515,488.333333333,0.0,0.0
Argentina + Uruguay,2016.0,2016-01-19,23.0,12.0,12.0,37.0,32.0,5497.0,4.0,3.0,6.0,3.0,1.5,13.7931034483,131.0,21.0526315789,21.0526315789
Argentina + Uruguay,2016.0,2016-01-12,36.0,8.0,9.0,25.0,25.0,21770.0,3.0,3.0,9.0,7.0,3.0,7.14285714286,402.0,0.0,0.0
Argentina + Uruguay,2016.0,2016-01-05,34.0,5.0,13.0,27.0,19.0,26354.0,5.0,2.0,10.0,3.0,2.0,9.25925925926,549.7,0.0,0.0
Brasil,2016.0,2016-01-26,301.0,38.0,32.0,282.0,263.0,78553.0,84.0,80.0,205.0,153.0,2.44047619048,39.8104265403,114.580487805,7.61904761905,23.1746031746
Brasil,2016.0,2016-01-19,113.0,29.0,34.0,242.0,237.0,62864.0,62.0,56.0,148.0,88.0,2.38709677419,33.5135135135,108.0,5.12820512821,16.9230769231
Brasil,2016.0,2016-01-12,101.0,24.0,15.0,186.0,189.0,93471.0,48.0,47.0,116.0,84.0,2.41666666667,24.7422680412,116.49137931,3.55029585799,22.4852071006
Brasil,2016.0,2016-01-05,121.0,26.0,22.0,211.0,156.0,100093.0,51.0,50.0,99.0,78.0,1.94117647059,25.7575757576,129.858585859,12.426035503,23.0769230769
Chile,2016.0,2016-01-26,51.0,39.0,36.0,151.0,119.0,64085.0,40.0,24.0,104.0,39.0,2.6,26.6666666667,179.625,8.69565217391,13.768115942
Chile,2016.0,2016-01-19,43.0,29.0,31.0,116.0,112.0,35091.0,31.0,22.0,69.0,31.0,2.22580645161,23.6641221374,179.434782609,13.3928571429,21.4285714286
Chile,2016.0,2016-01-12,29.0,37.0,18.0,144.0,148.0,59333.0,35.0,27.0,67.0,35.0,1.91428571429,24.8226950355,196.76119403,2.53164556962,12.6582278481
Chile,2016.0,2016-01-05,38.0,25.0,17.0,123.0,81.0,58949.0,32.0,23.0,68.0,35.0,2.125,21.9178082192,176.779411765,7.69230769231,15.3846153846
